7099;;Forestry in the Quantocks. Steep sided valleys are a feature of the eastern side of the hills, and here they have been planted by the Forestry Commission. Looking up Rams Combe from a steep track climbing up the north eastern side of the valley.;;neutral
7791;;Radnor Forest is a hunting forest and has long been without much tree cover. However the northern and eastern slopes of the central block of hills was chosen as one of the first sites to be planted by the Forestry Commission in the 1920s. View down towards Cascob.;;neutral
11728;;Deposits swept down the Croe water are filling up Loch Long, forming an alluvial fan. Some of this flat land is now occupied by the campsite, run by the Forestry Commission. Edinburgh University Mountaineering Club (EUMC) Dinner Meet 2005. --2016 Like much of the accommodation in the area, the campsite is now closed. Given the appalling Loch Lomond and Trossachs National Park's obsession with criminalising sleeping, care is needed if visiting the area overnight.;;neutral
12955;;The Forestry Commission have recently planted part of the hill. Not all is planted, now it is good practice not to plant conifers right up to water courses but leave a buffer zone. Conifer plantations have contributed to acidification of water courses.;;negative
13488;;Forestry Commission forests are not just about timber production, although that is their primary purpose. Recreational use is important, and this traditionally forest based sport is a big user of forests. This is the changeover in the 2005 Scottish Relay Championships. The runners are meeting on one of the tracks that form a grid throughout the forest. Orienteers favour mature open woodland free of ground clutter. The northern part of Tentsmuir is ideal, although things get thicker with younger plantings further south.;;neutral
13500;;Popular car park for Tentsmuir beach, and forest. Managed for recreation by the Forestry Commission. The picture shows the Forestry Commission Office, and ticket hut. An FC employee has just left the hut, probably about to chase me for car park money. I only noticed him when I got home and saw the picture.;;negative
13503;;Typical Forestry Commission sign, featuring the local wildlife. This is the entrance to the forest on the Kinshaldy road to the beach carpark. I took this when having a break from fighting the heavy traffic going to the beach on the single track access road. Tentsmuir was once an area of sand dune and slack that was planted as a vast pine forest.;;neutral
13636;;Open oak woodland on the hillside above Cors Fochno. A welcome change from the Forestry Commission evergreens. A carpet of bluebells in April.;;positive
15579;;Forestry commission car park at Tonguey Faulds. The harsh lines of the sitka spruce is softened by a strip of deciduous trees alongside the road.;;neutral
15852;;The Forestry Commission now try to maintain a varied landscape by the creation of clearings such as this. This clearing roughly follows the course of a stream.;;positive
16354;;Forestry Commission Head Office on Corstorphine Road. Once the main road from Edinburgh to the west, Corstorphine Road is home to many grand offices, hotels, hospitals and the zoo.;;neutral
19208;;The Cleveland Dyke is the local name for a volcanic seam of whinstone running from near Scarborough to the Isle of Mull. Where ever it outcrops it has been quarried for road making as it is extremely hard. Here a whinstone quarry has become filled with water and is almost lost in the Forestry Commission woods.;;neutral
19458;;Collection of simple houses, probably once a forestry village. North of here is a vast Forestry Commission plantation.;;neutral
20976;;Thanks to the Forestry Commission you can enjoy this large woodland with some shy Fallow Deer.;;positive
23497;;Cwm Einion alias Artists Valley. Forestry Commission conifers cover the hillside on the far bank of the Afon Einion.;;neutral
24000;;This Square is dominated by Tilgate Forest, a public access forest managed by the Forestry Commission. The photo shows the mature mixed woodland that makes up most of the forest area. This part is predominantly broadleaved deciduous trees, with the odd coniferous example and a light scattering of rhododendron thickets. The high canopy is quite dense and doesn't let much heavy vegetation take hold. One of several popular woodland areas in the vicinity for orienteering. The event here was a Christmas Score event staged by Southdowns Orienteers.;;neutral
24198;;Heathland on the edge of the Forestry Commission land, looking towards the Ipley Inclosure.;;neutral
24642;;This spot is north of the Beaulieu-Brockenhurst road as it crosses Beaulieu Heath, not far from the Forestry Commission's Hawkhill Inclosure car park.;;neutral
25573;;This is a small reservoir just to the north of Glencoe and is on land owned by the Forestry Commission.;;neutral
25588;;This is a Forestry Commission Car Park a couple of miles along the A708 from Moffat.;;neutral
26193;;Clipsham Yew Tree Avenue starts at a public road at SK980169 (the end that's shown, where the bend is) and stretches for half a kilometre to SK975166. There are 150 well clipped yew trees lining the avenue. Many of the trees are over 200 years old. The Yew Avenue is in Clipsham Park Wood, part of Kesteven Forest, and is cared for by the forestry commission. The trees are trimmed into various shapes (see [[SK9716]]).;;neutral
27298;;The Forestry Commission car park at Bramble Hill, close to the Longcross crossroads is surrounded by silver birch with bracken growing beneath. The older woodland nearby (in the neighbouring grid square) contains mainly oak and beech.;;neutral
26749;;This section of Nunney Wood in the western section of the square, is a privately owned forest being managed in conjunction with the forestry commission and welcomes walkers. This square is largely farmland, woodland and also contains the village of Cane End. This section is in the south western section, which is not easily accessed by motor vehicles.;;neutral
27074;;The forest is run by the Forestry Commission for commercial timber extraction. Here we see a lorry on the main access track (also a public bridleway) being loaded up with logs.;;neutral
27289;;This is the sharpest corner on Roger Penny Way, the B3078 road that crosses this northern part of the forest from Cadnam to Fordingbridge. The road zig-zags its way across this grid square on top of the ridge. The short wooden poles are known as "dragons' teeth" and are a Forestry Commission precaution to stop people driving vehicles off the road and onto the heathland. Most of the way along each side of the road a shallow ditch has been dug for the same reason.;;neutral
27595;;The cottage (marked as Hope Cottage on the OS map) is the only dwelling you see from the Roger Penny Way as you cross this northern part of the forest. There are two types of barrier to prevent public vehicles accessing the open heathland, and these can both be seen in this photo. In the foreground is a shallow ditch in the verge of the tarmac road, and the gravel track has wooden posts or "dragon's teeth" lining it. These were put in place in the early 1970s to restrict campers to the Forestry Commission sites and prevent damage to the heathland.;;neutral
27599;;In the foreground is a very low and mutilated bronze-age round barrow, hardly distinguishable from the surrounding heathland. The trig point is 29m above sea level, and very close to the Forestry Commission's "Yew Tree Heath" car park.;;neutral
28060;;In the distance is what used to be the factory units that made up the various companies part of the Capper Neil empire back in the eighties. My dad was a time served welder and started his career for William Neils before Capper came on the scene. Some twenty years later I ended up spending 6 months at a training centre on the same site. Nowadays it's looking a bit worse for wear although there is still a lot of activity there. In the foreground you can see what is the start of Wheatacre Woods. There is an ongoing initiative by the Forestry Commission to bring woodland areas once blighted by industry.;;neutral
28303;;This is a view of Maypole Wood near Clock Face, St.Helens which looks like it is now owned by the Forestry Commission. As you can see... it's quite a young woodland.;;neutral
28496;;Afon Colwyn where it runs alongside the Forestry Commission Beddgelert Caravan & Camping Site;;neutral
31880;;The inscription on the monument states, "This stone commemorates the Silver Jubilee of King George V. The Forestry Commissioners began in 1935 to afforest the King's Forest and to plant with beeches Queen Mary's Avenue which follows the course of the Icknield Way.";;neutral
32255;;This Forestry Commission car park is accessible from near Swansea West services on the M4. The river Llan can be seen winding its way past the car park.;;neutral
32373;;Looking south from the heathland on a showery afternoon. The edge of the wooded land marks the edge of the Forestry Commission managed heathland, with the Beaulieu Estate beyond.;;neutral
34020;;A view on a winter's sunset down a gorse-lined Forestry Commission track over the Cromarty Firth and towards An Cabar, part of the Ben Wyvis massif.;;neutral
34462;;These woods are privately owned by the Portman Burtley estate, which has provided permissive paths by arrangement with the Forestry Commission. The woods are just North of Burnham Beeches.;;neutral
36406;;Ashen Wood is not within the Forestry Commission managed land in the New Forest, and is privately owned. Much of this land in this grid square is undisturbed woodland.;;neutral
36636;;This Forestry Commission caravan site is on the edge of the vast wooded area between Lyndhurst and Brockenhurst. There are very limited facilities, and the sign says "any unit without a chemical toilet will be asked to move to a suitable campsite".;;neutral
36640;;These wooden stumps are found alongside the roads throughout the New Forest, and are one of the Forestry Commission's methods of preventing vehicular access to the heathland. In the 1960s the numbers of tourists camping and caravanning on the open forest swelled and in the early 1970s these posts and ditches were dug to protect the Forest. Official campsites were created throughout the Forest to cater for visitors.;;neutral
39694;;Seen from the Forestry Commission parking place looking roughly SSW with Moel Hebog on the skyline.;;neutral
40195;;Very quiet and extremely scenic road joining the west bank of Loch Awe with the coast. It provides access to a fine hillwalking area that seems to be ignored by all publications. Here it is climbing up to Loch Avich through many square kilometres of Forestry Commission land.;;neutral
40197;;Before the Inverliever Forest was planted by the Forestry Commission, this square, and its neighbours was a mix of moorland with patches of woodland. The old woodland was left, and is still there amongst the industrial spruce plantations. These scots pines predate the plantation.;;neutral
40202;;A 5km long loch west of Loch Awe. Mostly surrounded by Forestry Commission holdings, but there is a privately owned estate protecting one part from the trees. Here the forest has been felled allowing a view of the east end of the loch from the road. The view is westward down the length of the water. Taken from where Gleann Meisean meets the road.;;neutral
40204;;The original non Forestry Commission scenery of the area, oak woods, farmland and moors.;;neutral
40422;;East side of the hill, view across the square, all sheep walk with the occasional basalt crag. In the distance the Forestry Commission.;;neutral
40453;;Looking across the loch to the forestry on the southern shore. Taken from a Forestry Commission picnic place.;;neutral
41363;;They just came along, and I nearly missed them. Enthusiasts can get keys from the Forestry Commission to open the many gates in the forest. Are they 'carriages' or what is the correct term?;;neutral
41677;;Lochan, caught in a rocky gap just below the 640m summit of Mor Bheinn. Mor Bheinn is a craggy rough hill above Strathearn, right on the Highland boundary fault. It had been fenced off for many years by the Forestry Commission, and has now got a deep growth of heather on it. Travel above the treeline is easy though as there are many deer paths. Protected by the forest, the hill is not as well visited as its position and quality merits.;;neutral
41691;;Another forest square, managed by the Forestry Commission. It will not be long before these are felled.;;neutral 
42457;;Old quarry, now lost beneath woodland and raspberries in this Forestry Commission holding along the buildingstone rich Cullaloe Hills.;;neutral
42821;;This is an unnamed bog at SU255031. A stream runs west-east through this low-lying area which is only passable via the raised paths and bridges maintained by the Forestry Commission. This photo shows an area of reed and a large bed of Bog Myrtle.;;neutral
43033;;These beech trees surround the Forestry Commission car park at Ivy Wood, just off the B3055 east of Brockenhurst.;;neutral
43058;;There are several bridges like this over the mainline between Brockenhurst and Ashurst, at fairly regular intervals. I've never seen anything that came close to the 5 tonne limit crossing them (mostly walkers and cyclists) but it's possible that Forestry Commission vehicles make use of them.;;neutral
43060;;This part of the New Forest, to the NE of Brockenhurst, consists of many square kilometres of ancient woodland and more modern plantations. The many paths through the trees are liable to become very boggy after only a little rain, and a network of them have been improved and given a gravel surface to withstand the pressure from off-road cyclists (mostly holidaying families staying at the nearby large Forestry Commission campsites).;;neutral
43408;;The camp site is easy to get to, as it lies immediately to the east of the A337 between Lyndhurst and Brockenhurst, but for those trying to 'get away from it all' the noise of the busy road must be quite distracting. It is also sited on wet grassland, adjacent to Balmer Lawn: very pretty, but the ground doesn't drain too well! The wooden posts in the foreground (dragons teeth) are found all over the Forest, and are intended to limit vehicular access. The Forestry Commission has recently outlined plans to reduce the size of this campsite, moving this northern boundary further south.;;neutral
43463;;A typical view of the contents of this grid square, which mostly consists of the coniferous Hawkhill Inclosure. In the clearings between the trees you usually find bracken growing, with the occasional silver birch (foreground on the left). The policy of the Forestry Commission, which manages the majority of the Forest's inclosures, is moving away from these coniferous trees and back to the more eco-diverse broadleaved trees.;;positive
43487;;Looking west from the verge of the B3054 road, towards the trees of Hilltop Wood. The Beaulieu Estate, although geographically within the New Forest, is not managed by the Forestry Commission. The public access granted to the open Forest and Inclosures does not apply to the woods like this on private land, except where there are public rights of way. The character of the private woodland is similar to that of the adjacent Forest, and the wild deer (who can jump the fences) probably live in peace without being disturbed by walkers' dogs.;;neutral
43995;;This is the site of a hutted camp occupied by a unit of the Portuguese army during the first world war. The unit assisted the depleted local labour force in producing timber for the war effort. The Forestry Commission have retained this fireplace from the cookhouse as a memorial to the men who lived and worked here.;;neutral
44965;;A Forestry Commission block, completely clearfelled. This may become a community woodland for Leadburn. The brush and undergrowth conceal a former railway junction.;;neutral
45180;;Heading off on a stalking day out on the Forestry Commission Ground;;neutral
